Depth: 0, Beam size: 2, Best score: 103.65, Remaining: 399, Moves: 1
Depth: 1300, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1350, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1400, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1450, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1500, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1550, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1600, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1650, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1700, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1750, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1800, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1850, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1900, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1950, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2000, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2050, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2100, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2150, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2200, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2250, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2300, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2350, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2400, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2450, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2500, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2550, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2600, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2650, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2700, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2750, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2800, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2850, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2900, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 2950, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3000, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3050, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3100, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3150, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3200, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3250, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3300, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3350, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3400, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3450, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3500, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3550, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3600, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3650, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3700, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3750, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3800, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3850, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3900, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 3950, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
